Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
APOS-EXT-GPP-24;10.1.5.94;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-25;10.1.5.95;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-31;10.1.5.101;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-32;10.1.5.102;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-EXT-GPP-33;10.1.5.103;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-EXT-LOG-01;10.1.5.21;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-TPP-01;10.1.5.51;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-EXT-TPP-02;10.1.5.52;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-EXT-TRF-01;10.1.5.141;;;in operation;CentOS 4/5
APOS-EXT-TRF-02;10.1.5.142;;;in operation;CentOS 4/5
APOS-EXT-TRF-03;10.1.5.143;;;in operation;CentOS 4/5
APOS-INT-CAS-01;10.1.4.41;RZ2-ESX-40;CL_APOS;in operation;Other 4.x or later Linux
APOS-INT-CAS-02;10.1.4.42;RZ2-ESX-40;CL_APOS;in operation;Other 4.x or later Linux
APOS-INT-CAS-03;10.1.4.43;;;in operation;CentOS 4/5
APOS-INT-CTL-01;10.1.4.111;RZ1-ESX-38;CL_APOS;in operation;CentOS 4/5
APOS-INT-CTL-03;10.1.4.113;rz1-esx-22.bev.int;CL_APOS;in operation;CentOS 4/5
APOS-INT-DBS-03;10.1.4.123;rz1-esx-22.bev.int;CL_APOS;in operation;CentOS 4/5
APOS-INT-GPP-01.bev.int;10.1.4.71;rz2-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-INT-GPP-02.bev.int;10.1.4.72;RZ1-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-INT-GPP-03.bev.int;10.1.4.73;rz2-esx-21.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-INT-GPP-04;10.1.4.74;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-GPP-05.bev.int;10.1.4.75;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-GPP-06.bev.int;10.1.4.76;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2016
APOS-INT-LOG-01.bev.int;10.1.4.21;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-RNX-01;10.1.4.61;rz1-esx-22.bev.int;CL_APOS;in operation;CentOS 4/5
APOS-INT-RNX-02;10.1.4.62;;;in operation;CentOS 4/5
APOS-INT-RNX-03;10.1.4.63;;;in operation;CentOS 4/5
APOS-INT-TPP-01.bev.int;10.1.4.51;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-TPP-02.bev.int;10.1.4.52;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-INT-TPP-03.bev.int;10.1.4.150;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-MSSQL-01.bev.int;10.1.4.66;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-PSQL-01;10.1.4.67;;;in operation;CentOS 4/5
APOS-PSQL-03;10.1.4.68;RZ2-ESX-40;CL_APOS;in operation;CentOS 4/5
APOS-VPN-01;10.1.38.11;RZ2-ESX-40;CL_APOS;in operation;CentOS 4/5
APOSENTRY-01.bev.int;10.1.4.100;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOSENTRY-01old.bev.int;10.1.4.101;;;in operation;Windows Server 2008 R2
APOSMGNSS-01;10.1.4.69;;;in operation;CentOS 7
APOSMON-01;;RZ2-ESX-37;CL_DMZ;in operation;CentOS Linux 7.7.1908
APOSTEST.beu.local;10.70.2.38;;;in operation;Windows
AST-01;10.1.15.12;RZ1-ESX-39;CL_WEB;in operation;CentOS 7
AST-02;10.1.15.112;RZ1-ESX-39;CL_WEB;in operation;CentOS 7
AST-03;10.1.43.11;RZ1-ESX-39;CL_WEB;in operation;CentOS 4/5
BEUAMAP-01;10.70.5.51;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.4
BEUAPP-1;10.70.2.37;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.5
BEUCIO-01;10.6.13.13;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCIO-02;10.6.13.14;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-00;;RZ2-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-01;;RZ2-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-02;10.70.150.32;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-03;10.70.150.33;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-04;10.70.150.34;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-05;10.70.150.35;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-06;10.70.150.36;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-07;192.168.122.1;RZ2-ESX-41;CL_BEU;in operation;CentOS 7
BEUCLX-08;10.70.150.38;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-10;10.70.150.40;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-11;10.70.150.41;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-12;10.70.150.42;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-13;10.70.150.43;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-14;10.70.150.44;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-15;10.70.150.45;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-16;10.70.150.46;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-17;10.70.150.47;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-18;10.70.150.48;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-19;10.70.150.49;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-20;10.70.150.50;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-21;10.70.150.51;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-22;10.70.150.52;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-23;10.70.150.53;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-24;10.70.150.54;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-25;10.70.150.55;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-26;10.70.150.56;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-27;10.70.150.57;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-28;10.70.150.58;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-29;10.70.150.59;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-30;10.70.150.60;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-V1-00;;RZ1-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-V1-01;10.6.12.11;RZ2-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-V1-02;10.6.12.12;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-V1-03;10.6.12.13;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-V1-04;10.6.12.14;;;in operation;CentOS 4/5
BEUCLX-V1-05;10.6.12.15;;;in operation;Linux
BEUCLX-V1-06;10.6.12.16;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-V1-07;10.6.12.17;;;in operation;CentOS 4/5
BEUCLX-V1-08;10.6.12.18;;;in operation;CentOS 4/5
BEUDOK-1;10.70.2.40;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux 9.2
BEUGIS-1;172.22.0.1;RZ2-ESX-41;CL_BEU;in operation;CentOS Linux 7.8.2003
BEUKFS-1;10.70.5.62;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEULDAP-1;10.70.5.65;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.6
BEULDAP-2;10.70.5.66;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUPOCVMW-03.beu.local;10.70.2.121;RZ2-ESX-41;CL_BEU;in operation;Windows Server 2019
BEUPTL-2;10.70.5.61;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUQUEUE-1;10.70.2.51;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.6
BEUQUEUE-2;10.70.2.52;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUQUEUE-3;10.70.2.53;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUREVDB-01;10.70.5.80;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.5
BEUSENTRY-1;;RZ2-ESX-41;CL_BEU;in operation;CentOS Linux 7.9.2009
BEUVW10-99;10.70.150.99;RZ2-ESX-41;CL_BEU;in operation;Windows 10
BPUINAPP-01;10.2.6.115;RZ1-ESX-32;CL_PU;in operation;Rocky Linux 9.5
BPUINDB-01;10.2.6.116;RZ1-ESX-33;CL_PU;in operation;Rocky Linux 9.5
BTU-KUBCP-01;10.75.1.161;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBLOG-01;10.75.1.163;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBWN-01;10.75.1.162;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBWN-02;10.75.1.164;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTUAST-01;;RZ1-ESX-37;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUAST-02;10.6.6.13;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 8.6
BTUDBDE-01;10.75.2.37;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.4
BTUDC-01;10.75.2.81;RZ2-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUDCCDB-01;10.75.2.39;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.6
BTUESPADM-01.btu.local;10.75.1.150;RZ2-ESX-36;CL_DMZ;in operation;Windows Server 2008 R2
