Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
BTUVDE-7;10.75.2.127;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVDE-8;10.75.2.128;RZ2-ESX-56.bev.int;CL_DMZ-TU;in operation;Rocky Linux 8.9
BTUVEKDB-01;10.75.2.65;RZ2-ESX-37;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUVEKDB-02;;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUWORKBENCHREPORT-01;10.75.2.38;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.6
BTUZDA-03;10.75.2.143;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 8.5
BUILD-01;10.2.3.18;rz2-esx-32.bev.int;CL_PU;in operation;CentOS Linux 7.9.2009
CAI-01.bev.int;10.2.1.185;rz2-esx-32.bev.int;CL_PU;in operation;Windows Server 2019 Datacenter
CAI-02.bev.int;10.2.1.186;RZ1-ESX-34;CL_PU;in operation;Windows Server 2019 Datacenter
CAROOT;;RZ1-ESX-34;CL_PU;in operation;Windows Server 2019
CentOS-REPO;;RZ1-ESX-34;CL_PU;in operation;CentOS
CMDBTEST-01;;RZ1-ESX-33;CL_PU;in operation;CentOS
cpepmgr03;10.2.1.53;rz2-esx-32.bev.int;CL_PU;in operation;Red Hat Enterprise Linux 7
CPPM01;10.2.1.221;RZ2-ESX-50;CL_PU;in operation;Other 4.x or later Linux
CPPM11;10.2.1.211;RZ1-ESX-31;CL_PU;in operation;Other 4.x or later Linux
CPPM12;10.2.1.212;RZ2-ESX-31;CL_PU;in operation;Other 4.x or later Linux
ctxnsx-01.bev.int;10.2.9.128;RZ2-ESX-31;CL_PU;in operation;Other 4.x or later Linux
DB2GIS-01;;;;in operation;Rocky Linux 8.7
DBDE-01;10.2.6.16;rz2-esx-32.bev.int;CL_PU;in operation;Rocky Linux 9.4
DC-1;10.1.6.41;;;in operation;CentOS 7
DC-2;10.1.6.32;;;in operation;CentOS 7
