"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"tbc2020-06","","Barboritsch Claus","","","","Virtueller Client","0","0","0","0"
"tbc2020-07","","Ager Erich","","","","Virtueller Client","0","0","0","0"
"tbc2020-08","","ex Böhm Gabriele","","","","Virtueller Client","0","0","0","0"
"tbc2020-09","","Schewzik Michael","","","","Virtueller Client","0","0","0","0"
"tbc2020-10","","Lukaseder Klaus","","","","Virtueller Client","0","0","0","0"
"tbc2020-11","","Fluch Stefan","","","","Virtueller Client","0","0","0","0"
"tbc2020-12","","Stöckl Gerhard","","","","Virtueller Client","0","0","0","0"
"tbc2020-13","","Lang Florian","","","","Virtueller Client","0","0","0","0"
"tbc2020-14","","ex Otter Juergen","","","","Virtueller Client","0","0","0","0"
"tbc2020-15","","Tremetzberger Dieter","","","","Virtueller Client","0","0","0","0"
"tbc2020-16","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"tbc2020-17","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"tbc2020-18","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trafoarcgis-01 - 201910","","Edler Anton","","","","Virtueller Client","0","0","0","0"
"trimblefl-01","trimblefl-01","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-02","trimblefl-02","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-03","trimblefl-03","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-04","trimblefl-04","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-05","trimblefl-05","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-06","trimblefl-06","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-07","trimblefl-07","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-08","trimblefl-08","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-09","trimblefl-09","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimblefl-10","trimblefl-10","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-01","trimbleW7-32-01","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-02","trimbleW7-32-02","Keplinger Josef","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-03","trimbleW7-32-03","ex Steffan Benno","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-04","trimbleW7-32-04","Engler Thomas","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-05","trimbleW7-32-05","Maier Benjamin","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-06","trimbleW7-32-06","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"trimbleW7-32-08","trimbleW7-32-08","Neustifter Johannes","","","","Virtueller Client","0","0","0","0"
"v2agis2c-01","","Virtueller Client Dientl Franz","","","","Virtueller Client","0","0","0","0"
"v2arcgis-02","","Ex Leidenmühler Sarah","","","","Virtueller Client","0","0","0","0"
"v2arcgis-03","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"v2testou-1","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"V3agis-01","","Virtueller Client Dientl Franz","","","","Virtueller Client","0","0","0","0"
"V3agis-02","","Frey Karin","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-41","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-410","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-411","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-412","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-413","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-414","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-415","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-416","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-417","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-418","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-419","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001617","dkm2021-047","Nico HANDLER","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-420","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-421","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-422","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-423","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-424","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-425","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-426","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-427","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-428","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-429","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001616","dkm2021-046","Forjan Daniel","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-430","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-431","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-432","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-433","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-434","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-435","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-436","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-437","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-438","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-439","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-440","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-441","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-442","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-443","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-444","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-445","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-446","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-447","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-448","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-449","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-450","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-451","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-452","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-453","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-454","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-455","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-456","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-457","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-398","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-459","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-460","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-461","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-462","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-463","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"V3agis-23","","Glatzer Selina","","","","Virtueller Client","0","0","0","0"
"V3agis-32","","Reinberger Sabine","","","","Virtueller Client","0","0","0","0"
"V3agis-29","","Pock Herfried","","","","Virtueller Client","0","0","0","0"
"V3agis-30","","Ferbar Michaela","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-029","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001643","dkm2021-073","Mara Strefan","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-030","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-031","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-032","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-033","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-034","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-035","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-036","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001607","dkm2021-037","Atteneder Samira","","","","Virtueller Client","0","0","0","0"
"K-00001608","dkm2021-038","Leitner Ernestine","","","","Virtueller Client","0","0","0","0"
"K-00001609","dkm2021-039","ex Leuthner Günter","","","","Virtueller Client","0","0","0","0"
"K-00001574","dkm2021-004","Zitzler Philipp","","","","Virtueller Client","0","0","0","0"
"K-00001610","dkm2021-040","Dolejsi Johann","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-381","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-382","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-383","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-384","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-385","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-386","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-387","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-388","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-389","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-39","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-390","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-391","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-392","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-393","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-394","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-395","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-396","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-397","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001575","dkm2021-005","Koch Marco","","","","Virtueller Client","0","0","0","0"
"K-00001576","dkm2021-006","Edelsbacher Richard","","","","Virtueller Client","0","0","0","0"
"K-00001577","dkm2021-007","Schmidt Silke","","","","Virtueller Client","0","0","0","0"
"K-00001578","dkm2021-008","Skorpil Helmut","","","","Virtueller Client","0","0","0","0"
"K-00001579","dkm2021-009","Hauser Martin","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-01","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001580","dkm2021-010","Kohn Jürgen","","","","Virtueller Client","0","0","0","0"
"K-00001581","dkm2021-011","Laminger Ernst","","","","Virtueller Client","0","0","0","0"
"K-00001582","dkm2021-012","Hasler Karl","","","","Virtueller Client","0","0","0","0"
"K-00001583","dkm2021-013","Hetzmannseder Doris","","","","Virtueller Client","0","0","0","0"
"K-00001584","dkm2021-014","Sprenger Thomas","","","","Virtueller Client","0","0","0","0"
"K-00001585","dkm2021-015","Schmidt Susanne","","","","Virtueller Client","0","0","0","0"
"K-00001586","dkm2021-016","Riepl Manfred","","","","Virtueller Client","0","0","0","0"
"K-00001587","dkm2021-017","Eigner Gerd","","","","Virtueller Client","0","0","0","0"
"K-00001588","dkm2021-018","Orasch Peter","","","","Virtueller Client","0","0","0","0"
"K-00001589","dkm2021-019","Kurz Dieter","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-02","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001590","dkm2021-020","Meinhardt Michael","","","","Virtueller Client","0","0","0","0"
"K-00001591","dkm2021-021","Pachler Michael","","","","Virtueller Client","0","0","0","0"
"K-00001592","dkm2021-022","Kenda Harald","","","","Virtueller Client","0","0","0","0"
"K-00001593","dkm2021-023","Elsigan Roland","","","","Virtueller Client","0","0","0","0"
"K-00001594","dkm2021-024","Beihammer Martin","","","","Virtueller Client","0","0","0","0"
"K-00001595","dkm2021-025","Reisinger Wolfgang","","","","Virtueller Client","0","0","0","0"
"K-00001596","dkm2021-026","Blüm Martin","","","","Virtueller Client","0","0","0","0"
"K-00001597","dkm2021-027","Ortner Michael","","","","Virtueller Client","0","0","0","0"
"a-gis106-01","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"a-gis106-02","","Wurzer Walter","","","","Virtueller Client","0","0","0","0"
"a-gis106-03","","Halzl Reinhard","","","","Virtueller Client","0","0","0","0"
"a-gis106-04","","Edler Anton","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-01","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-02","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-03","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-04","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-05","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-06","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-07","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-09","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-11","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-14","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-15","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-16","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-17","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-18","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-19","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-20","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-21","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"ARCGIS16WSF-22","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-375","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-376","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-377","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-378","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-169","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-17","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-170","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-171","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-172","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-173","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-174","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-175","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-176","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-177","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"v4agis-06","","Landauer Manuela","","","","Virtueller Client","0","0","0","0"
"v4agis-07","","Jaritz-Rupprecht Michaela","","","","Virtueller Client","0","0","0","0"
"v4agis-08","","","","","","Virtueller Client","0","0","0","0"
"v4agis-09","","Huber Jürgen","","","","Virtueller Client","0","0","0","0"
"v4agis-10","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"v4agis-11","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"v4agis-12","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"v4agis-13","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-161","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-162","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-163","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-164","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-165","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-166","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-167","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-357","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-358","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-359","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001606","dkm2021-036","Rohringer Christina","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-360","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-361","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-362","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-363","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-364","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm2021-438","","Schachinger Hartmuth","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-366","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-367","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-368","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-369","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-370","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-371","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-372","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-373","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-380","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10tu1-04","dkm-w10tu1-04","Vlaschits Christian","","","","Virtueller Client","0","0","0","0"
"V3agis-11","","Zoettl Armin","","","","Virtueller Client","0","0","0","0"
"V3agis-12","","Goldinger Sabine","","","","Virtueller Client","0","0","0","0"
"V3agis-13","","Ponholzer Gerhard","","","","Virtueller Client","0","0","0","0"
"V3agis-14","","Groeller Roland","","","","Virtueller Client","0","0","0","0"
"V3agis-15","","Dolezal Alfred","","","","Virtueller Client","0","0","0","0"
"V3agis-16","","Steurer Kerstin","","","","Virtueller Client","0","0","0","0"
"V3agis-17","","Ribel Richard","","","","Virtueller Client","0","0","0","0"
"V3agis-18","","","","","","Virtueller Client","0","0","0","0"
"V3agis-20","","Doupovec Wolfgang","","","","Virtueller Client","0","0","0","0"
"V3agis-21","","Hettegger Anna","","","","Virtueller Client","0","0","0","0"
"V3agis-22","","Romstorfer Gerhard","","","","Virtueller Client","0","0","0","0"
"V3agis-24","","Dangl Werner","","","","Virtueller Client","0","0","0","0"
"V3agis-25","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"V3agis-26","","Lotz Jakob","","","","Virtueller Client","0","0","0","0"
"V3agis-27","","Seisenbacher Daniel","","","","Virtueller Client","0","0","0","0"
"V3CPU4AGIS-4","","Lotz Jakob","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-349","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001605","dkm2021-035","Grilz Günther","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-335","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-336","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-352","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-353","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-354","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-355","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-338","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-339","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001604","dkm2021-034","Piringer Heinz","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-340","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-341","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-342","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-343","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-344","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-345","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-346","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-347","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-329","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001603","dkm2021-033","Pfurtscheller Wolfgang","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-330","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-331","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-332","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-333","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-211","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-225","","","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-107","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-108","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-226","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-227","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-228","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-229","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-23","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-230","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-231","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-232","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-233","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-309","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001601","dkm2021-031","Kropfreiter Andreas","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-310","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-311","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-312","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-313","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-314","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-315","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-316","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-317","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-318","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-319","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001602","dkm2021-032","Auer Herwig","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-320","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-321","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-322","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-323","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-324","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-325","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-326","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-327","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-291","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-292","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-293","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-294","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-295","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-296","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-297","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-298","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-299","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"K-00001600","dkm2021-030","Strohmeier Martin","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-300","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-301","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-302","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-303","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-304","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-305","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-306","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-307","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-235","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-236","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-237","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-238","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-239","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-240","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-241","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-242","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-243","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-244","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-245","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-246","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-247","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-248","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-249","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-25","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-250","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-251","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-252","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-253","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
"dkm-w10c-254","","Püler Christoph","","","","Virtueller Client","0","0","0","0"
