"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00002572","W810-EA-B-N09","Kugl Robert","","","","Laptop","0","0","0","0"
"K-00002408","W001-V4-B-N55","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002528","W450-EA-B-N08","Meisl Manfred","","","","Laptop","0","0","0","0"
"K-00002495","W010-EA-B-N06","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002525","W450-EA-B-N05","ex Jungreithmayr Herbert","","","","Laptop","0","0","0","0"
"K-00002547","W630-EA-B-N09","Schelnast Herbert","","","","Laptop","0","0","0","0"
"K-00002536","W560-EA-B-N04","Wasenegger Hans","","","","Laptop","0","0","0","0"
"W010-EA-B-N07","W010-EA-B-N07","","","","","Laptop","0","0","0","0"
"K-00002237","W003-E1-M-S68","E111 - Elektrische Größen (2.OG-304)","","","","FAT Client","0","0","0","0"
"K-00002266","W010-EA-M-S17","Falchetto Irmgard","","","","FAT Client","0","0","0","0"
"K-00002242","W003-E2-M-S05","E231 - Länge, Fläche, Winkel, Fotometrie (4.OG-207)","","","","FAT Client","0","0","0","0"
"K-00002113","W001-V1-M-N44","Haslinger Martin","Hardware Asset Management","Operations","Delivery","FAT Client","0","0","0","0"
"K-00002029","Test1","ausgeschiedene Systeme","","","","FAT Client","0","0","0","0"
"OPSI01","","","","","","FAT Client","0","0","0","0"
"K-00002058","W001-I3-B-S02","ausgeschiedene Systeme","","","","FAT Client","0","0","0","0"
"K-00002202","BS-S4XEAF6","Pammer Andreas","","","","FAT Client","0","0","0","0"
"K-00002073","W001-I3-B-S48","Mudera Helge","","","","FAT Client","0","0","0","0"
"W001-V5-B-S01","","","","","","FAT Client","0","0","0","0"
"W001-V5-B-S02","","","","","","FAT Client","0","0","0","0"
"K-00002057","W001-I3-B-S01","Stummer Hubert","","","","FAT Client","0","0","0","0"
"K-00002307","DEPLOY01","Stummer Hubert Entwicklungsrechner","","","","FAT Client","0","0","0","0"
"K-00002177","BS-S4XDZR8","Müllner Michael","","","","FAT Client","0","0","0","0"
"W001-V3-B-S18","","","","","","FAT Client","0","0","0","0"
"W001-V3-B-S19","","","","","","FAT Client","0","0","0","0"
"K-00002159","W001-V3-B-S51","","","","","FAT Client","0","0","0","0"
"W001-I3-B-S45","W001-I3-B-S45","","","","","FAT Client","0","0","0","0"
"K-00002181","BS-S4XDZV7","Liem Johannes","","","","FAT Client","0","0","0","0"
"K-00002187","BS-S4XDZX0","Vincenz Marion","","","","FAT Client","0","0","0","0"
"K-00002188","BS-S4XDZX7","Schuster Sabine","","","","FAT Client","0","0","0","0"
"K-00002194","BS-S4XEAA8","Rigele Rainer","","","","FAT Client","0","0","0","0"
"K-00002198","BS-S4XEAF5","Kummer Wolfgang","","","","FAT Client","0","0","0","0"
"K-00002137","BS-S4XBRF0","Täuber Paul","","","","FAT Client","0","0","0","0"
"K-00002679","BS-S4XBRF9","Gutschka Ingrid","","","","FAT Client","0","0","0","0"
"K-00002138","BS-S4XBRG6","Doupovec Wolfgang","","","","FAT Client","0","0","0","0"
"K-00002139","BS-S4XEAA2","Obermayer Horst","","","","FAT Client","0","0","0","0"
"W001-V3-B-S12","","","","","","FAT Client","0","0","0","0"
"K-00002180","W001-V4-B-S08","Schleiss Marcus","","","","FAT Client","0","0","0","0"
"K-00002182","BS-S4XDZW0","Landauer Manuela","","","","FAT Client","0","0","0","0"
"W001-V4-B-S24","","","","","","FAT Client","0","0","0","0"
"K-00002140","BS-S4XEAE2","Reinberger Sabine","","","","FAT Client","0","0","0","0"
"W001-V3-B-S16","","","","","","FAT Client","0","0","0","0"
"K-00002680","","ausgeschiedene Systeme","","","","FAT Client","0","0","0","0"
"K-00002141","BS-S4XEAH6","Ponholzer Gerhard","","","","FAT Client","0","0","0","0"
"K-00002179","BS-S4XDZT8","Hubatka Andrea","","","","FAT Client","0","0","0","0"
"K-00002162","BS-S4XDZY5","Raidl Bernhard","","","","FAT Client","0","0","0","0"
