"Title","Primary hostaddress","Host in cluster","Running on host / cluster","CMDB status","Operating system","GeneratedUniqueID"
"BTUAST-01","","RZ1-ESX-37","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUAST-01""]"
"BTUAST-02","10.6.6.13","RZ1-ESX-36","CL_DMZ","in operation","Rocky Linux 8.6","[""BTUAST-02""]"
"BTUDBDE-01","10.75.2.37","RZ1-ESX-36","CL_DMZ","in operation","Rocky Linux 9.4","[""BTUDBDE-01""]"
"BTUDC-01","10.75.2.81","RZ2-ESX-36","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUDC-01""]"
"BTUDCCDB-01","10.75.2.39","RZ1-ESX-36","CL_DMZ","in operation","Rocky Linux 9.6","[""BTUDCCDB-01""]"
"BTUESPADM-01.btu.local","10.75.1.150","RZ2-ESX-36","CL_DMZ","in operation","Windows Server 2008 R2","[""BTUESPADM-01.btu.local""]"
"BTUESPPRO-01.btu.local","10.75.1.152","RZ1-ESX-36","CL_DMZ","in operation","Windows Server 2019","[""BTUESPPRO-01.btu.local""]"
"BTUESPPRO-02","10.75.1.154","RZ2-ESX-37","CL_DMZ","in operation","Rocky Linux 9.4","[""BTUESPPRO-02""]"
"BTUESPVEI-01","10.75.1.153","RZ1-ESX-37","CL_DMZ","in operation","CentOS Linux 8.2.2004","[""BTUESPVEI-01""]"
"BTUESPVMW-01.btu.local","10.75.1.151","RZ1-ESX-36","CL_DMZ","in operation","Windows Server 2019","[""BTUESPVMW-01.btu.local""]"
"BTUESPVMW-02","10.75.1.155","RZ2-ESX-37","CL_DMZ","in operation","Rocky Linux 9.6","[""BTUESPVMW-02""]"
"BTUGIT-1","10.75.2.113","RZ1-ESX-36","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUGIT-1""]"
"BTUGRUPU-1","","RZ1-ESX-36","CL_DMZ","in operation","CentOS Linux 7.8.2003","[""BTUGRUPU-1""]"
"BTUGRUPU-2","10.75.2.62","RZ2-ESX-37","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUGRUPU-2""]"
"BTUINAPP-01","10.75.2.115","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.3","[""BTUINAPP-01""]"
"BTUINDB-01","10.75.2.116","RZ2-ESX-37","CL_DMZ","in operation","Rocky Linux 9.3","[""BTUINDB-01""]"
"BTUKFS-3","10.6.6.61","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.6","[""BTUKFS-3""]"
"BTUKMORC-01","10.75.1.81","RZ2-ESX-47","CL_DB","in operation","Oracle Linux Server 9.5","[""BTUKMORC-01""]"
"BTUKMORC-01","10.75.1.81","RZ2-ESX-46","CL_DB","in operation","Oracle Linux Server 9.5","[""BTUKMORC-01""]"
"BTUMMAPP-01","","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 8.7","[""BTUMMAPP-01""]"
