"ID";"Title";"Location path";"Creation date";"Last change";"CMDB status"
"208817";"blissful_kapitsa";"-";"2025-03-18 15:48:59 (klausw)";"2025-03-18 15:49:00 (klausw)";"in operation"
"208344";"blissful_lamarr";"-";"2025-03-18 15:37:06 (klausw)";"2025-03-18 15:37:06 (klausw)";"in operation"
"208987";"blissful_lamarr";"-";"2025-03-18 15:49:21 (klausw)";"2025-03-18 15:49:22 (klausw)";"in operation"
"208260";"bold_allen";"-";"2025-03-18 15:36:55 (klausw)";"2025-03-18 15:36:55 (klausw)";"in operation"
"208903";"bold_allen";"-";"2025-03-18 15:49:11 (klausw)";"2025-03-18 15:49:11 (klausw)";"in operation"
"207855";"bold_cannon";"-";"2025-03-18 15:36:02 (klausw)";"2025-03-18 15:36:03 (klausw)";"in operation"
"208511";"bold_cannon";"-";"2025-03-18 15:48:18 (klausw)";"2025-03-18 15:48:19 (klausw)";"in operation"
"208198";"bold_chandrasekhar";"-";"2025-03-18 15:36:47 (klausw)";"2025-03-18 15:36:47 (klausw)";"in operation"
"208841";"bold_chandrasekhar";"-";"2025-03-18 15:49:03 (klausw)";"2025-03-18 15:49:03 (klausw)";"in operation"
"208418";"bold_franklin";"-";"2025-03-18 15:37:15 (klausw)";"2025-03-18 15:37:15 (klausw)";"in operation"
"209061";"bold_franklin";"-";"2025-03-18 15:49:31 (klausw)";"2025-03-18 15:49:32 (klausw)";"in operation"
"208388";"bold_lamport";"-";"2025-03-18 15:37:11 (klausw)";"2025-03-18 15:37:12 (klausw)";"in operation"
"209031";"bold_lamport";"-";"2025-03-18 15:49:27 (klausw)";"2025-03-18 15:49:28 (klausw)";"in operation"
"207899";"bold_mendeleev";"-";"2025-03-18 15:36:08 (klausw)";"2025-03-18 15:36:08 (klausw)";"in operation"
"208555";"bold_mendeleev";"-";"2025-03-18 15:48:24 (klausw)";"2025-03-18 15:48:24 (klausw)";"in operation"
"208022";"bold_panini";"-";"2025-03-18 15:36:24 (klausw)";"2025-03-18 15:36:25 (klausw)";"in operation"
"208671";"bold_panini";"-";"2025-03-18 15:48:40 (klausw)";"2025-03-18 15:48:40 (klausw)";"in operation"
"208320";"bold_ptolemy";"-";"2025-03-18 15:37:03 (klausw)";"2025-03-18 15:37:03 (klausw)";"in operation"
"208963";"bold_ptolemy";"-";"2025-03-18 15:49:18 (klausw)";"2025-03-18 15:49:19 (klausw)";"in operation"
"208082";"boring_hermann";"-";"2025-03-18 15:36:32 (klausw)";"2025-03-18 15:36:32 (klausw)";"in operation"
"208731";"boring_hermann";"-";"2025-03-18 15:48:48 (klausw)";"2025-03-18 15:48:48 (klausw)";"in operation"
