UniqueID;Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
APOS-INT-GPP-05.bev.int_10.1.4.75_RZ2-ESX-38;APOS-INT-GPP-05.bev.int;10.1.4.75;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-GPP-06.bev.int_10.1.4.76_RZ2-ESX-40;APOS-INT-GPP-06.bev.int;10.1.4.76;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2016
APOS-INT-LOG-01.bev.int_10.1.4.21_RZ1-ESX-38;APOS-INT-LOG-01.bev.int;10.1.4.21;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-RNX-01_10.1.4.61_rz1-esx-22.bev.int;APOS-INT-RNX-01;10.1.4.61;rz1-esx-22.bev.int;CL_APOS;in operation;CentOS 4/5
APOS-INT-RNX-02_10.1.4.62;APOS-INT-RNX-02;10.1.4.62;;;in operation;CentOS 4/5
APOS-INT-RNX-03_10.1.4.63;APOS-INT-RNX-03;10.1.4.63;;;in operation;CentOS 4/5
APOS-INT-TPP-01.bev.int_10.1.4.51_RZ1-ESX-38;APOS-INT-TPP-01.bev.int;10.1.4.51;RZ1-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-INT-TPP-02.bev.int_10.1.4.52_rz1-esx-22.bev.int;APOS-INT-TPP-02.bev.int;10.1.4.52;rz1-esx-22.bev.int;CL_APOS;in operation;Windows Server 2019
APOS-INT-TPP-03.bev.int_10.1.4.150_RZ2-ESX-40;APOS-INT-TPP-03.bev.int;10.1.4.150;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOS-MSSQL-01.bev.int_10.1.4.66_RZ2-ESX-38;APOS-MSSQL-01.bev.int;10.1.4.66;RZ2-ESX-38;CL_APOS;in operation;Windows Server 2019
APOS-PSQL-01_10.1.4.67;APOS-PSQL-01;10.1.4.67;;;in operation;CentOS 4/5
APOS-PSQL-03_10.1.4.68_RZ2-ESX-40;APOS-PSQL-03;10.1.4.68;RZ2-ESX-40;CL_APOS;in operation;CentOS 4/5
APOS-VPN-01_10.1.38.11_RZ2-ESX-40;APOS-VPN-01;10.1.38.11;RZ2-ESX-40;CL_APOS;in operation;CentOS 4/5
APOSENTRY-01.bev.int_10.1.4.100_RZ2-ESX-40;APOSENTRY-01.bev.int;10.1.4.100;RZ2-ESX-40;CL_APOS;in operation;Windows Server 2019
APOSENTRY-01old.bev.int_10.1.4.101;APOSENTRY-01old.bev.int;10.1.4.101;;;in operation;Windows Server 2008 R2
APOSMGNSS-01_10.1.4.69;APOSMGNSS-01;10.1.4.69;;;in operation;CentOS 7
APOSMON-01_RZ2-ESX-37;APOSMON-01;;RZ2-ESX-37;CL_DMZ;in operation;CentOS Linux 7.7.1908
APOSTEST.beu.local_10.70.2.38;APOSTEST.beu.local;10.70.2.38;;;in operation;Windows
AST-01_10.1.15.12_RZ1-ESX-39;AST-01;10.1.15.12;RZ1-ESX-39;CL_WEB;in operation;CentOS 7
AST-02_10.1.15.112_RZ1-ESX-39;AST-02;10.1.15.112;RZ1-ESX-39;CL_WEB;in operation;CentOS 7
AST-03_10.1.43.11_RZ1-ESX-39;AST-03;10.1.43.11;RZ1-ESX-39;CL_WEB;in operation;CentOS 4/5
BEUAMAP-01_10.70.5.51_RZ1-ESX-41;BEUAMAP-01;10.70.5.51;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.4
BEUAPP-1_10.70.2.37_rz2-esx-51.bev.int;BEUAPP-1;10.70.2.37;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.5
BEUCIO-01_10.6.13.13_rz2-esx-51.bev.int;BEUCIO-01;10.6.13.13;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCIO-02_10.6.13.14_rz2-esx-51.bev.int;BEUCIO-02;10.6.13.14;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-00_RZ2-ESX-41;BEUCLX-00;;RZ2-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-01_RZ2-ESX-41;BEUCLX-01;;RZ2-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-01_RZ2-ESX-41;BEUCLX-01;;RZ2-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-02_10.70.150.32_RZ1-ESX-51.bev.int;BEUCLX-02;10.70.150.32;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-03_10.70.150.33_RZ2-ESX-41;BEUCLX-03;10.70.150.33;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-04_10.70.150.34_RZ1-ESX-51.bev.int;BEUCLX-04;10.70.150.34;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-05_10.70.150.35_RZ1-ESX-41;BEUCLX-05;10.70.150.35;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-05_10.70.150.35_rz2-esx-51.bev.int;BEUCLX-05;10.70.150.35;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-06_RZ2-ESX-41;BEUCLX-06;;RZ2-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-06_10.70.150.36_RZ1-ESX-51.bev.int;BEUCLX-06;10.70.150.36;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-07_192.168.122.1_RZ2-ESX-41;BEUCLX-07;192.168.122.1;RZ2-ESX-41;CL_BEU;in operation;CentOS 7
BEUCLX-08_10.70.150.38_RZ2-ESX-41;BEUCLX-08;10.70.150.38;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-10_10.70.150.40_RZ2-ESX-41;BEUCLX-10;10.70.150.40;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-10_10.6.19.110_rz2-esx-51.bev.int;BEUCLX-10;10.6.19.110;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-11_10.70.150.41_RZ1-ESX-51.bev.int;BEUCLX-11;10.70.150.41;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-12_10.70.150.42_rz2-esx-51.bev.int;BEUCLX-12;10.70.150.42;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-13_10.70.150.43_RZ1-ESX-51.bev.int;BEUCLX-13;10.70.150.43;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-14_10.70.150.44_RZ1-ESX-41;BEUCLX-14;10.70.150.44;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-15_10.70.150.45_RZ1-ESX-41;BEUCLX-15;10.70.150.45;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-16_10.70.150.46_RZ1-ESX-41;BEUCLX-16;10.70.150.46;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-17_10.70.150.47_rz2-esx-51.bev.int;BEUCLX-17;10.70.150.47;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-18_10.70.150.48_RZ1-ESX-41;BEUCLX-18;10.70.150.48;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-19_10.70.150.49_rz2-esx-51.bev.int;BEUCLX-19;10.70.150.49;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-19_10.70.150.49_RZ1-ESX-41;BEUCLX-19;10.70.150.49;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-20_10.70.150.50_RZ2-ESX-41;BEUCLX-20;10.70.150.50;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-20_10.70.150.50_RZ2-ESX-41;BEUCLX-20;10.70.150.50;RZ2-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-21_10.70.150.51_RZ1-ESX-51.bev.int;BEUCLX-21;10.70.150.51;RZ1-ESX-51.bev.int;CL_BEU;in operation;Linux
BEUCLX-21_10.70.150.51_RZ1-ESX-41;BEUCLX-21;10.70.150.51;RZ1-ESX-41;CL_BEU;in operation;CentOS 4/5
BEUCLX-22_10.70.150.52_RZ1-ESX-41;BEUCLX-22;10.70.150.52;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-23_10.70.150.53_RZ1-ESX-41;BEUCLX-23;10.70.150.53;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-24_10.70.150.54_RZ1-ESX-51.bev.int;BEUCLX-24;10.70.150.54;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-25_10.70.150.55_RZ1-ESX-51.bev.int;BEUCLX-25;10.70.150.55;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-26_10.70.150.56_RZ1-ESX-41;BEUCLX-26;10.70.150.56;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-27_10.70.150.57_RZ1-ESX-51.bev.int;BEUCLX-27;10.70.150.57;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-28_10.70.150.58_rz2-esx-51.bev.int;BEUCLX-28;10.70.150.58;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-29_10.70.150.59_rz2-esx-51.bev.int;BEUCLX-29;10.70.150.59;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux
BEUCLX-30_10.70.150.60_RZ1-ESX-41;BEUCLX-30;10.70.150.60;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-V1-00_RZ1-ESX-41;BEUCLX-V1-00;;RZ1-ESX-41;CL_BEU;in operation;CentOS
BEUCLX-V1-01_10.6.12.11_RZ2-ESX-41;BEUCLX-V1-01;10.6.12.11;RZ2-ESX-41;CL_BEU;in operation;Rocky Linux
BEUCLX-V1-02_10.6.12.12_RZ1-ESX-51.bev.int;BEUCLX-V1-02;10.6.12.12;RZ1-ESX-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-V1-03_10.6.12.13_rz2-esx-51.bev.int;BEUCLX-V1-03;10.6.12.13;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-V1-04_10.6.12.14;BEUCLX-V1-04;10.6.12.14;;;in operation;CentOS 4/5
BEUCLX-V1-05_10.6.12.15;BEUCLX-V1-05;10.6.12.15;;;in operation;Linux
BEUCLX-V1-06_10.6.12.16_rz2-esx-51.bev.int;BEUCLX-V1-06;10.6.12.16;rz2-esx-51.bev.int;CL_BEU;in operation;CentOS 4/5
BEUCLX-V1-07_10.6.12.17;BEUCLX-V1-07;10.6.12.17;;;in operation;CentOS 4/5
BEUCLX-V1-08_10.6.12.18;BEUCLX-V1-08;10.6.12.18;;;in operation;CentOS 4/5
BEUDOK-1_10.70.2.40_RZ1-ESX-51.bev.int;BEUDOK-1;10.70.2.40;RZ1-ESX-51.bev.int;CL_BEU;in operation;Rocky Linux 9.2
BEUGIS-1_172.22.0.1_RZ2-ESX-41;BEUGIS-1;172.22.0.1;RZ2-ESX-41;CL_BEU;in operation;CentOS Linux 7.8.2003
